,date,labels,Hate,Not_Hate,RatioofHate,RatioofNotHate
0,2020-10-05,"['Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate']",1,27,0.03571428571428571,0.9642857142857143
1,2020-10-06,"['Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Hate', 'Not Hate', 'Not Hate', 'Hate', 'Not Hate', 'Not Hate', 'Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Hate', 'Hate', 'Not Hate', 'Not Hate', 'Hate', 'Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Hate', 'Not Hate']",8,27,0.22857142857142856,0.7714285714285715
2,2020-10-07,"['Not Hate', 'Hate', 'Hate', 'Not Hate', 'Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Hate', 'Not Hate', 'Hate', 'Not Hate', 'Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Hate', 'Not Hate', 'Hate', 'Not Hate', 'Hate']",12,34,0.2608695652173913,0.7391304347826086
3,2020-10-08,"['Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Hate', 'Hate', 'Not Hate', 'Hate', 'Not Hate', 'Not Hate', 'Hate', 'Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Hate', 'Hate', 'Not Hate', 'Not Hate', 'Not Hate']",8,33,0.1951219512195122,0.8048780487804879
4,2020-10-09,"['Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Hate', 'Not Hate', 'Not Hate', 'Hate', 'Hate', 'Hate', 'Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Hate']",8,21,0.27586206896551724,0.7241379310344828
5,2020-10-10,"['Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Hate', 'Not Hate']",2,16,0.1111111111111111,0.8888888888888888
6,2020-10-11,"['Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate']",1,5,0.16666666666666666,0.8333333333333334
7,2020-10-12,"['Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate']",1,24,0.04,0.96
8,2020-10-13,"['Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Hate', 'Not Hate']",3,35,0.07894736842105263,0.9210526315789473
9,2020-10-14,"['Not Hate', 'Not Hate', 'Not Hate', 'Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate']",1,29,0.03333333333333333,0.9666666666666667
10,2020-10-15,"['Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate']",1,36,0.02702702702702703,0.972972972972973
