,Unnamed: 0,date,id,tweet_text,label
0,0,2020-10-05,1312939206486958082,since late summer n dakota dakota added cases per capita state wisconsin set r,Not Hate
1,1,2020-10-05,1312939625112055809,white house immediately provide information precautions taken protect secret service memb,Not Hate
2,2,2020-10-05,1312941193890869251,whca whca president trumps decision today outrageous president left hospital even briefly amid,Not Hate
3,3,2020-10-05,1312941210496098304,whca ever american public deserves independent coverage president reliably informed hi,Not Hate
4,4,2020-10-05,1312942859889397760,ashleyrparker attending physician walter reed weighs,Not Hate
5,5,2020-10-05,1313198147875803138,president phenomenal patient absolutely ridiculous,Not Hate
6,6,2020-10-05,1313201796026957825,insistence saying president last tested negative sometimes avoid questions dodg,Not Hate
7,7,2020-10-05,1313213535262998528,follow rules quarantined around anyone including kamala harris dr,Not Hate
8,8,2020-10-05,1313220809088020483,joe biden glad see president speaking recording videos weekend busy twee,Not Hate
9,9,2020-10-05,1313225469765054465,would prudent president wearing mask limiting contact much possible make sure,Not Hate
10,10,2020-10-05,1313229905052790787,decision fly jake reckless one says new jersey gov phil murphy president trumps decision,Not Hate
11,11,2020-10-05,1313231105257082882,wh doctor refuses answer basic questions trumps health drsanjaygupta reports,Not Hate
12,12,2020-10-05,1313231675661471744,doctor sen kamala harris go room pence quarantining drjeannem,Not Hate
13,13,2020-10-05,1313231977126952963,trump released hospital physician refuses answer key questions kaitlancollins reports,Not Hate
14,14,2020-10-05,1313232175525920774,carolleonnig two veteran doctors treated covid patients told would fired letting older covid patient take,Not Hate
15,15,2020-10-05,1313232447329402881,dr gupta trumps message fear covid  dead americans disrespectful gross,Not Hate
16,16,2020-10-05,1313232579571707904,isaacdovere vice presidents staff continues make fun covid precautions,Not Hate
17,17,2020-10-05,1313232928789463041,new poll rds americans say trump acted irresponsibly infection distrust white house,Not Hate
18,18,2020-10-05,1313233291378647040,nyc close schools businesses new hot spot area nickwattcnn reports,Not Hate
19,19,2020-10-05,1313233385968541697,politics factor decision release trump hospital niacnn seungminkim davidchalian di,Not Hate
20,20,2020-10-05,1313241581714014209,president trump march said lot time meet dr anthony fauci coronavirus pand,Not Hate
21,21,2020-10-05,1313249209915781122,president trump leaves walter reed return white house access constant medical care afte,Not Hate
22,22,2020-10-05,1313252355522134016,white house decided trace contacts attendees event  days ago judge barre,Not Hate
23,23,2020-10-05,1313264880632377346,mitchellreports realdonaldtrump returns white house immediately takes mask words,Not Hate
24,24,2020-10-06,1313325886171561986,craigaspencer followed public health guidance infected one unnecessarily exposed numerous people last,Not Hate
25,25,2020-10-06,1313325954236911616,craigaspencer told us afraid covid right cases rise across country yet teachers,Not Hate
26,26,2020-10-06,1313325961480482816,craigaspencer let dominate life said k americans died held hands called families ov,Not Hate
27,27,2020-10-06,1313326239088865284,pbump remember ballots found river happen military ballots trash fraud trump h,Not Hate
28,28,2020-10-06,1313326526218330112,maddowblog taking bullet assassin something quite different taking viral bullet expe,Not Hate
29,29,2020-10-06,1313326816837480448,maddowblog th amendment provides legal basis see donald trump continuing resist even ment,Not Hate
30,30,2020-10-06,1313331262720012288,jacksonleetx masks save lives,Not Hate
31,31,2020-10-06,1313482012272062471,ddale trump campaign spokesman hogan gidley claimed fox trump alone balcony outside maskless,Not Hate
32,32,2020-10-06,1313530989168267264,jenniferjjacobs news one presidents military aides coast guard aide jayna mccarron coronavirus sources tell,Not Hate
33,33,2020-10-06,1313530995073835008,jenniferjjacobs military aides handle phone calls president advance trips link white house,Not Hate
34,34,2020-10-06,1313538417100312576,many white house staff learned positive tests media reports several exposed without th,Not Hate
35,35,2020-10-06,1313538846395641857,took  days trumps diagnosis white house send staffwide note even,Not Hate
36,36,2020-10-06,1313539566008139776,months white house cleaning staff privately voiced concerns safety including lack access,Not Hate
37,37,2020-10-06,1313540464184881153,insane would return white house jeopardize staffs health still learning,Not Hate
38,38,2020-10-06,1313541846375829504,beschlossdc president woodrow wilson publicly tried pretend  influenza pandemic killed  americans,Not Hate
39,39,2020-10-06,1313543986133467141,peteralexander new given us masks one wh official tells joshnbcnews precau,Not Hate
40,40,2020-10-06,1313545172572086274,nbcnews breaking chairman joint chiefs staff gen mark milley least  members member joint chiefs,Not Hate
41,41,2020-10-06,1313545498113048578,travistritten pic maskless gold star families event wh sept  army sec ryan mccarthy air force sec barbara barret,Not Hate
42,42,2020-10-06,1313545505637568513,travistritten photos wh crowd show gen berger marine commandant gen raymond space force chief illustration,Not Hate
43,44,2020-10-06,1313547382676692992,line dropoff box,Not Hate
44,45,2020-10-06,1313550155031941124,watch one barr assigned bash investigate obama admin supposed unmasking scandal officials looki,Not Hate
45,46,2020-10-06,1313552581344493568,garretthaake breaking president pulled plug covid relief negotiations election,Not Hate
46,47,2020-10-06,1313561949905522690,poll  percent voters want senate take covid relief scotus nominee,Not Hate
