,date,labels,Hate,Not_Hate,RatioofHate,RatioofNotHate
0,2020-10-05,"['Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate']",0,24,0.0,1.0
1,2020-10-06,"['Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate']",0,49,0.0,1.0
2,2020-10-07,"['Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate']",1,43,0.022727272727272728,0.9772727272727273
3,2020-10-08,"['Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Hate']",2,34,0.05555555555555555,0.9444444444444444
4,2020-10-09,"['Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate']",0,22,0.0,1.0
5,2020-10-10,['Not Hate'],0,1,0.0,1.0
6,2020-10-11,"['Not Hate', 'Not Hate']",0,2,0.0,1.0
7,2020-10-12,"['Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate']",0,28,0.0,1.0
8,2020-10-13,"['Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate']",1,41,0.023809523809523808,0.9761904761904762
9,2020-10-14,"['Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate', 'Not Hate']",0,37,0.0,1.0
